2017-06-17T22:55:17Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.724, eth_shares: 406, eth_shares_pct: 19, dcr_speed: 284.692, dcr_shares: 1090, dcr_shares_pct: 17.73
2017-06-17T22:55:17Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.910, eth_shares: 615, eth_shares_pct: 28.78, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:55:27Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 28.052, eth_shares: 563, eth_shares_pct: 26.35, dcr_speed: 336.628, dcr_shares: 2421, dcr_shares_pct: 39.37
2017-06-17T22:55:27Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.383, eth_shares: 598, eth_shares_pct: 27.98, dcr_speed: 352.598, dcr_shares: 2637, dcr_shares_pct: 42.89
2017-06-17T22:55:27Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.751, eth_shares: 406, eth_shares_pct: 19, dcr_speed: 285.016, dcr_shares: 1090, dcr_shares_pct: 17.73
2017-06-17T22:55:27Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.904, eth_shares: 615, eth_shares_pct: 28.78, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:55:37Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.913, eth_shares: 563, eth_shares_pct: 26.35, dcr_speed: 334.953, dcr_shares: 2421, dcr_shares_pct: 39.37
2017-06-17T22:55:37Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.330, eth_shares: 598, eth_shares_pct: 27.98, dcr_speed: 351.963, dcr_shares: 2637, dcr_shares_pct: 42.89
2017-06-17T22:55:37Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.285, eth_shares: 406, eth_shares_pct: 19, dcr_speed: 279.421, dcr_shares: 1090, dcr_shares_pct: 17.73
2017-06-17T22:55:37Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.918, eth_shares: 615, eth_shares_pct: 28.78, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:55:47Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.922, eth_shares: 563, eth_shares_pct: 26.33, dcr_speed: 335.066, dcr_shares: 2422, dcr_shares_pct: 39.37
2017-06-17T22:55:47Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.388, eth_shares: 598, eth_shares_pct: 27.97, dcr_speed: 352.655, dcr_shares: 2637, dcr_shares_pct: 42.86
2017-06-17T22:55:47Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.745, eth_shares: 406, eth_shares_pct: 18.99, dcr_speed: 284.939, dcr_shares: 1092, dcr_shares_pct: 17.75
2017-06-17T22:55:47Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.906, eth_shares: 616, eth_shares_pct: 28.81, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:55:57Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.925, eth_shares: 563, eth_shares_pct: 26.33, dcr_speed: 335.105, dcr_shares: 2423, dcr_shares_pct: 39.37
2017-06-17T22:55:57Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.027, eth_shares: 598, eth_shares_pct: 27.97, dcr_speed: 348.325, dcr_shares: 2637, dcr_shares_pct: 42.85
2017-06-17T22:55:57Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.745, eth_shares: 406, eth_shares_pct: 18.99, dcr_speed: 284.941, dcr_shares: 1093, dcr_shares_pct: 17.76
2017-06-17T22:55:57Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.906, eth_shares: 616, eth_shares_pct: 28.81, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:56:07Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.900, eth_shares: 563, eth_shares_pct: 26.33, dcr_speed: 334.797, dcr_shares: 2423, dcr_shares_pct: 39.37
2017-06-17T22:56:07Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.341, eth_shares: 598, eth_shares_pct: 27.97, dcr_speed: 352.094, dcr_shares: 2637, dcr_shares_pct: 42.85
2017-06-17T22:56:07Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.739, eth_shares: 406, eth_shares_pct: 18.99, dcr_speed: 284.867, dcr_shares: 1093, dcr_shares_pct: 17.76
2017-06-17T22:56:07Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.908, eth_shares: 616, eth_shares_pct: 28.81, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:56:17Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 28.135, eth_shares: 563, eth_shares_pct: 26.33, dcr_speed: 337.616, dcr_shares: 2423, dcr_shares_pct: 39.37
2017-06-17T22:56:17Z02:00, machine: minr, id: GPU1, temp: 66, fan: 40, eth_speed: 29.301, eth_shares: 598, eth_shares_pct: 27.97, dcr_speed: 351.613, dcr_shares: 2638, dcr_shares_pct: 42.86
2017-06-17T22:56:17Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.742, eth_shares: 406, eth_shares_pct: 18.99, dcr_speed: 284.907, dcr_shares: 1093, dcr_shares_pct: 17.76
2017-06-17T22:56:17Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.918, eth_shares: 616, eth_shares_pct: 28.81, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:56:27Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.932, eth_shares: 563, eth_shares_pct: 26.33, dcr_speed: 335.186, dcr_shares: 2423, dcr_shares_pct: 39.36
2017-06-17T22:56:27Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.357, eth_shares: 598, eth_shares_pct: 27.97, dcr_speed: 352.287, dcr_shares: 2638, dcr_shares_pct: 42.85
2017-06-17T22:56:27Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.746, eth_shares: 406, eth_shares_pct: 18.99, dcr_speed: 284.953, dcr_shares: 1094, dcr_shares_pct: 17.77
2017-06-17T22:56:27Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.919, eth_shares: 616, eth_shares_pct: 28.81, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:56:37Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.934, eth_shares: 563, eth_shares_pct: 26.33, dcr_speed: 335.212, dcr_shares: 2423, dcr_shares_pct: 39.36
2017-06-17T22:56:37Z02:00, machine: minr, id: GPU1, temp: 66, fan: 40, eth_speed: 29.362, eth_shares: 598, eth_shares_pct: 27.97, dcr_speed: 352.339, dcr_shares: 2638, dcr_shares_pct: 42.85
2017-06-17T22:56:37Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.774, eth_shares: 406, eth_shares_pct: 18.99, dcr_speed: 285.289, dcr_shares: 1094, dcr_shares_pct: 17.77
