2017-06-17T22:56:27Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.954, eth_total_shares: 2138, eth_total_rejected: 0, eth_avg_speed_per_card: 27.49, eth_avg_shares_per_card: 534.5, dcr_total_speed: 972.426, dcr_total_shares: 6156, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.11, dcr_avg_shares_per_card: 1539
2017-06-17T22:56:37Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 109.985, eth_total_shares: 2138, eth_total_rejected: 0, eth_avg_speed_per_card: 27.5, eth_avg_shares_per_card: 534.5, dcr_total_speed: 972.840, dcr_total_shares: 6156, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.21, dcr_avg_shares_per_card: 1539
2017-06-17T22:56:47Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 109.919, eth_total_shares: 2138, eth_total_rejected: 0, eth_avg_speed_per_card: 27.48, eth_avg_shares_per_card: 534.5, dcr_total_speed: 972.155, dcr_total_shares: 6157, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.04, dcr_avg_shares_per_card: 1539.25
2017-06-17T22:56:57Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 109.955, eth_total_shares: 2138, eth_total_rejected: 0, eth_avg_speed_per_card: 27.49, eth_avg_shares_per_card: 534.5, dcr_total_speed: 972.463, dcr_total_shares: 6159, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.12, dcr_avg_shares_per_card: 1539.75
2017-06-17T22:57:07Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 109.628, eth_total_shares: 2138, eth_total_rejected: 0, eth_avg_speed_per_card: 27.41, eth_avg_shares_per_card: 534.5, dcr_total_speed: 968.588, dcr_total_shares: 6159, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242.15, dcr_avg_shares_per_card: 1539.75
2017-06-17T22:57:17Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.926, eth_total_shares: 2138, eth_total_rejected: 0, eth_avg_speed_per_card: 27.48, eth_avg_shares_per_card: 534.5, dcr_total_speed: 971.982, dcr_total_shares: 6159, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243, dcr_avg_shares_per_card: 1539.75
2017-06-17T22:57:27Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 105.500, eth_total_shares: 2138, eth_total_rejected: 0, eth_avg_speed_per_card: 26.38, eth_avg_shares_per_card: 534.5, dcr_total_speed: 919.107, dcr_total_shares: 6159, dcr_total_rejected: 88, dcr_avg_speed_per_card: 229.78, dcr_avg_shares_per_card: 1539.75
2017-06-17T22:57:37Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.415, eth_total_shares: 2138, eth_total_rejected: 0, eth_avg_speed_per_card: 27.35, eth_avg_shares_per_card: 534.5, dcr_total_speed: 966.090, dcr_total_shares: 6160, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.52, dcr_avg_shares_per_card: 1540
2017-06-17T22:57:47Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.580, eth_total_shares: 2138, eth_total_rejected: 0, eth_avg_speed_per_card: 27.4, eth_avg_shares_per_card: 534.5, dcr_total_speed: 967.875, dcr_total_shares: 6160, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.97, dcr_avg_shares_per_card: 1540
2017-06-17T22:57:57Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.953, eth_total_shares: 2139, eth_total_rejected: 0, eth_avg_speed_per_card: 27.49, eth_avg_shares_per_card: 534.75, dcr_total_speed: 972.481, dcr_total_shares: 6160, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.12, dcr_avg_shares_per_card: 1540
2017-06-17T22:58:07Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 110.082, eth_total_shares: 2140, eth_total_rejected: 0, eth_avg_speed_per_card: 27.52, eth_avg_shares_per_card: 535, dcr_total_speed: 973.866, dcr_total_shares: 6160, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.47, dcr_avg_shares_per_card: 1540
2017-06-17T22:58:17Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 99.486, eth_total_shares: 2140, eth_total_rejected: 0, eth_avg_speed_per_card: 24.87, eth_avg_shares_per_card: 535, dcr_total_speed: 846.608, dcr_total_shares: 6161, dcr_total_rejected: 88, dcr_avg_speed_per_card: 211.65, dcr_avg_shares_per_card: 1540.25
2017-06-17T22:58:27Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 109.914, eth_total_shares: 2140, eth_total_rejected: 0, eth_avg_speed_per_card: 27.48, eth_avg_shares_per_card: 535, dcr_total_speed: 971.987, dcr_total_shares: 6161, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243, dcr_avg_shares_per_card: 1540.25
